# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11  of event 'cpu_core/mem-loads-aux/'
# Total weight : 11
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.21%             1  5             L1 hit                                   [.] g_mutex_unlock                    libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                     [heap]              None          L1 or L2 hit            Yes      N/A        55                   0                   
     0.21%             1  5             L1 hit                                   [k] kvm_irq_map_gsi                   [kernel.kallsyms]        [k] 0xffffd3a84d482a78                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        251                  0                   
     0.21%             1  5             L1 hit                                   [k] psi_group_change                  [kernel.kallsyms]        [k] 0xffffd3a84d42f840                     [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       81                   0                   
     0.21%             1  5             L1 hit                                   [k] psi_group_change                  [kernel.kallsyms]        [k] 0xfffff3a83f962d48                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        100                  0                   
     0.21%             1  5             L1 hit                                   [.] slirp_pollfds_poll                libslirp.so.0.4.0        [.] 0x00007f115ccd9f40                     libslirp.so.0.4.0   None          L1 or L2 hit            No       N/A        36                   0                   
     0.21%             1  5             L1 hit                                   [k] update_curr                       [kernel.kallsyms]        [k] 0xffff8c3d4f3f5b40                     [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       64                   0                   
     0.21%             1  5             L1 hit                                   [k] update_curr_se                    [kernel.kallsyms]        [k] 0xffffd3a84d42f7f0                     [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       164                  0                   
     0.21%             1  5             L1 hit                                   [.] 0x000000000005a6f3                libglib-2.0.so.0.8400.4  [.] 0x000055eb46682fd8                     [heap]              None          L1 or L2 hit            Yes      N/A        36                   0                   
     0.21%             1  5             L1 hit                                   [.] 0x0000000000b1860f                qemu-system-x86_64       [.] 0x00007ffef8c05cb0                     [stack]             None          L1 or L2 hit            Yes      N/A        45                   0                   


# Samples: 21  of event 'cpu_core/mem-stores/P'
# Total weight : 105
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
