# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                         Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .............................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr           [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] ip_rcv_finish_core.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] nft_do_chain               [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 4519
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                 Shared Object            Data Symbol                                          Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .....................................  .......................  ...................................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     0.11%             1  5             L1 hit                                   [k] __switch_to                        [kernel.kallsyms]        [k] 0xffff8c3d4f3f4d40                               [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       49                   0                   
     0.11%             1  5             L1 hit                                   [k] __switch_to                        [kernel.kallsyms]        [k] 0xffff8c3d4f3f4d41                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        37                   0                   
     0.11%             1  5             L1 hit                                   [k] _raw_spin_lock_bh                  [kernel.kallsyms]        [k] 0xffff8c3bc70e7f04                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        83                   0                   
     0.11%             1  5             L1 hit                                   [k] avg_vruntime                       [kernel.kallsyms]        [k] 0xffff8c3cc7d74e30                               [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       121                  0                   
     0.11%             1  5             L1 hit                                   [k] cond_accept_memory                 [kernel.kallsyms]        [k] 0xffffd3a84d42f850                               [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       83                   0                   
     0.11%             1  5             L1 hit                                   [k] eventfd_poll                       [kernel.kallsyms]        [k] 0xffffd3a84d42f6cc                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        60                   0                   
     0.11%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffff8c3c3908e9c0                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        83                   0                   
     0.11%             1  5             L1 hit                                   [k] fdget                              [kernel.kallsyms]        [k] 0xffffd3a84d42f9a0                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        42                   0                   
     0.11%             1  5             L1 hit                                   [k] fput                               [kernel.kallsyms]        [k] 0xffff8c3bee851840                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        49                   0                   
     0.11%             1  5             L1 hit                                   [k] fput                               [kernel.kallsyms]        [k] 0xffff8c3bee851840                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      Addr       33                   0                   
