# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18  of event 'cpu_core/mem-loads-aux/'
# Total weight : 18
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    94.44%            17  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     5.56%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 6927
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                    Shared Object            Data Symbol                             Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ........................................  .......................  ......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     0.88%             1  61            L3 hit                                   [k] handle_fastpath_set_msr_irqoff        [kernel.kallsyms]        [k] 0xffff8c3c92d78000                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        63                   0                   
     0.87%             1  60            L3 hit                                   [k] alloc_pages_noprof                    [kernel.kallsyms]        [k] 0xffff8c3d4f3f5be8                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        62                   0                   
     0.85%             1  59            LFB/MAB hit                              [k] sched_balance_newidle                 [kernel.kallsyms]        [k] nohz+0x20                           [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        61                   0                   
     0.85%             1  59            L3 hit                                   [k] x86_pmu_disable                       [kernel.kallsyms]        [k] x86_pmu+0x10                        [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        61                   0                   
     0.79%             1  55            L3 hit                                   [k] free_unref_page_commit                [kernel.kallsyms]        [k] 0xffff8c3f1f7d6758                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        57                   0                   
     0.78%             1  54            LFB/MAB hit                              [.] qemu_main_loop                        qemu-system-x86_64       [.] 0x000055eb11814e8c                  anon                None          L1 or L2 hit            No       N/A        56                   0                   
     0.74%             1  51            LFB/MAB hit                              [.] slirp_pollfds_poll                    libslirp.so.0.4.0        [.] 0x000055eb469581a8                  [heap]              None          L1 or L2 hit            No       Addr       53                   0                   
     0.72%             1  50            L3 hit                                   [k] psi_group_change                      [kernel.kallsyms]        [k] 0xffff8c3bd1876030                  [kernel.kallsyms]   None          L2 miss                 No       N/A        100                  0                   
     0.71%             1  49            L3 hit                                   [.] qemu_main_loop                        qemu-system-x86_64       [.] 0x000055eb11720c8c                  qemu-system-x86_64  None          L2 miss                 No       N/A        138                  0                   
     0.55%             1  38            LFB/MAB hit                              [k] vruntime_eligible                     [kernel.kallsyms]        [k] 0xffff8c3bfbe2fa50                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        40                   0                   
     0.49%             1  34            L2 hit                                   [k] remove_wait_queue                     [kernel.kallsyms]        [k] 0xffff8c3c30df7078                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        36                   0                   
     0.42%             1  29            LFB/MAB hit                              [k] _raw_spin_lock_irqsave                [kernel.kallsyms]        [k] 0xffff8c3c0532f208                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        38                   0                   
     0.07%             1  5             L1 hit                                   [k] __calc_delta.constprop.0              [kernel.kallsyms]        [k] 0xffff8c3bd4ee9e00                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        290                  0                   
