# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    22.22%             2  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 102  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 5277
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                              Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  .......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     1.02%             1  54            LFB/MAB hit                              [.] object_dynamic_cast_assert             qemu-system-x86_64       [.] 0x000055eb466e5ec8                   [heap]              None          L1 or L2 hit            No       N/A        56                   0                   
     1.02%             1  54            LFB/MAB hit                              [k] switch_mm_irqs_off                     [kernel.kallsyms]        [k] 0xffff8c3c3b4a8958                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        197                  0                   
     1.02%             1  54            L3 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xfffff3a83f923350                   [kernel.kallsyms]   None          L2 miss                 No       N/A        129                  0                   
     1.02%             1  54            L3 hit                                   [.] pthread_mutex_lock                     libc.so.6                [.] 0x000055eb11814270                   anon                None          L1 or L2 hit            No       N/A        57                   0                   
     1.00%             1  53            LFB/MAB hit                              [k] enqueue_entity                         [kernel.kallsyms]        [k] 0xffff8c3d4f3f5c04                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        55                   0                   
     1.00%             1  53            L3 hit                                   [k] kvm_irq_map_gsi                        [kernel.kallsyms]        [k] 0xffffd3a84d482a78                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        55                   0                   
     0.99%             1  52            L3 hit                                   [.] g_main_context_release@plt             qemu-system-x86_64       [.] 0x000055eb1170ddd0                   qemu-system-x86_64  None          L2 miss                 No       N/A        73                   0                   
     0.99%             1  52            L3 hit                                   [.] gettimeofday@plt                       qemu-system-x86_64       [.] 0x000055eb1170e800                   qemu-system-x86_64  None          L1 or L2 hit            No       N/A        54                   0                   
     0.99%             1  52            L3 hit                                   [.] object_dynamic_cast_assert             qemu-system-x86_64       [.] 0x000055eb466887b0                   [heap]              None          L1 or L2 hit            No       N/A        54                   0                   
     0.97%             1  51            LFB/MAB hit                              [.] g_source_ref                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46682fd8                   [heap]              None          L1 or L2 hit            Yes      N/A        53                   0                   
     0.93%             1  49            LFB/MAB hit                              [k] tick_nohz_dep_clear_cpu                [kernel.kallsyms]        [k] 0xffff8c3f0f3264d8                   [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        51                   0                   
     0.93%             1  49            LFB/MAB hit                              [.] 0x000000000005db8c                     libglib-2.0.so.0.8400.4  [.] 0x00007f10c40b2550                   anon                None          L1 or L2 hit            No       N/A        91                   0                   
     0.89%             1  47            L3 hit                                   [k] kvm_irq_map_gsi                        [kernel.kallsyms]        [k] 0xffffd3a84d482a78                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        49                   0                   
     0.81%             1  43            LFB/MAB hit                              [k] intel_idle                             [kernel.kallsyms]        [k] 0xffffd3a8401abe84                   [kernel.kallsyms]   None          L2 miss                 Yes      N/A        278                  0                   
     0.78%             1  41            LFB/MAB hit                              [.] timerlist_deadline_ns                  qemu-system-x86_64       [.] 0x000055eb46683438                   [heap]              None          L1 or L2 hit            No       N/A        43                   0                   
     0.78%             1  41            LFB/MAB hit                              [.] 0x00000000006cfd6b                     qemu-system-x86_64       [.] 0x000055eb47454060                   [heap]              None          L1 or L2 hit            No       N/A        44                   0                   
     0.74%             1  39            LFB/MAB hit                              [k] record_times                           [kernel.kallsyms]        [k] 0xfffff3a83f94f5d0                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        125                  0                   
     0.68%             1  36            LFB/MAB hit                              [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bfbe2fac8                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        38                   0                   
     0.63%             1  33            LFB/MAB hit                              [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bc401a214                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        36                   0                   
     0.59%             1  31            LFB/MAB hit                              [k] _raw_spin_lock_irqsave                 [kernel.kallsyms]        [k] 0xffff8c3bc5640040                   [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        33                   0                   
     0.38%             1  20            L2 hit                                   [k] __sysvec_apic_timer_interrupt          [kernel.kallsyms]        [k] 0xffff8c3f0f321080                   [kernel.kallsyms]   None          L2 miss                 No       N/A        41                   0                   
     0.36%             1  19            L2 hit                                   [k] update_curr                            [kernel.kallsyms]        [k] 0xffff8c3c0a49c8c0                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        36                   0                   
     0.34%             1  18            LFB/MAB hit                              [k] cpuidle_enter_state                    [kernel.kallsyms]        [k] 0xffff8c3f0f341988                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        54                   0                   
     0.34%             1  18            L2 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xffff8c3c0dc6ec78                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        61                   0                   
     0.32%             1  17            LFB/MAB hit                              [k] __switch_to_asm                        [kernel.kallsyms]        [k] 0xffffd3a8401abe40                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        34                   0                   
     0.28%             1  15            L2 hit                                   [k] __hrtimer_next_event_base              [kernel.kallsyms]        [k] 0xffff8c3f0f33d3c0                   [kernel.kallsyms]   None          L2 miss                 No       N/A        46                   0                   
     0.28%             1  15            L2 hit                                   [k] n_tty_poll                             [kernel.kallsyms]        [k] 0xffff8c3c0532f240                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        61                   0                   
     0.28%             1  15            L2 hit                                   [k] update_curr                            [kernel.kallsyms]        [k] 0xffff8c3bd4ee8b64                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        37                   0                   
     0.28%             1  15            L2 hit                                   [.] 0x000000000005d998                     libglib-2.0.so.0.8400.4  [.] 0x000055eb117ddda8                   qemu-system-x86_64  None          L2 miss                 No       N/A        54                   0                   
     0.25%             1  13            LFB/MAB hit                              [k] ct_kernel_enter.isra.0                 [kernel.kallsyms]        [k] 0xffff8c3f0f319a18                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        60                   0                   
     0.25%             1  13            LFB/MAB hit                              [.] 0x00000000000bdb7d                     libglib-2.0.so.0.8400.4  [.] 0x00007f115cf3d1a8                   anon                None          L1 or L2 hit            No       N/A        45                   0                   
     0.09%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffffd3a8401abcf8                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        33                   0                   
     0.09%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bc790f0d8                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        305                  0                   
     0.09%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bfbe2fad0                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        127                  0                   
