# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_core/mem-loads-aux/'
# Total weight : 1699
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.24%             4  0             N/A                                      [.] 0x000000000094d04b               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             4  0             N/A                                      [.] 0x000000000094d1c6               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             4  0             N/A                                      [.] 0x000000000095008c               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.24%             4  0             N/A                                      [.] 0x0000000000c67390               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [k] __flush_work                     [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [k] __irq_work_queue_local           [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] bitmap_set_atomic                qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] cpu_exec_end                     qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] cpu_exec_start                   qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] helper_gvec_uminp_b              qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [k] n_tty_poll                       [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] ppoll                            libc.so.6                [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x00007fced7b182f1               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x00007fcee314e1f7               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x00007fcee31c970f               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x00007fcee31c9761               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094a6d6               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094b046               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094b0ad               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094b163               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094b1b9               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.18%             3  0             N/A                                      [.] 0x000000000094d003               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
