# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             7  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 41  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1979
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol                                 Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ..........................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
# ........  ............  ............  .......................................  ..............................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     3.97%             1  5             L1 hit                                   [k] __get_next_timer_interrupt  [kernel.kallsyms]        [k] 0xffffd3a8401abe20  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] __schedule                  [kernel.kallsyms]        [k] 0xffffd3a8401abea0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq    [kernel.kallsyms]        [k] 0xffffd3a8401abcb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq    [kernel.kallsyms]        [k] 0xffffd3a8401abcc4  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] __update_load_avg_se        [kernel.kallsyms]        [k] 0xffff8c3bc401a4c0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] __vdso_clock_gettime        [vdso]                   [.] 0x00007ffef8c05ca0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] __vdso_clock_gettime        [vdso]                   [.] 0x00007ffef8c05d38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [k] cgroup_rstat_updated        [kernel.kallsyms]        [k] 0xffffd3a84d42f768  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.97%             1  5             L1 hit                                   [.] clock_gettime               libc.so.6                [.] 0x00007ffef8c05cf8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
