# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11  of event 'cpu_core/mem-loads-aux/'
# Total weight : 11
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    90.91%            10  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     9.09%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 108  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 6442
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                            Shared Object            Data Symbol                                Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ................................  .......................  .........................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     0.08%             1  5             L1 hit                                   [k] psi_group_change              [kernel.kallsyms]        [k] 0xffffd3a84d42f678                     [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       128                  0                   
     0.08%             1  5             L1 hit                                   [k] psi_group_change              [kernel.kallsyms]        [k] 0xffffd3a84d42f700                     [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        139                  0                   
     0.08%             1  5             L1 hit                                   [.] qemu_event_set                qemu-system-x86_64       [.] 0x000055eb46687c00                     [heap]                   None          L1 or L2 hit            Yes      N/A        48                   0                   
     0.08%             1  5             L1 hit                                   [.] qemu_event_set                qemu-system-x86_64       [.] 0x00007ffef8c05c80                     [stack]                  None          L1 or L2 hit            Yes      N/A        77                   0                   
     0.08%             1  5             L1 hit                                   [k] syscall_return_via_sysret     [kernel.kallsyms]        [k] 0xfffffe1fb61a9ff0                     [unknown]                None          L1 or L2 hit            No       N/A        79                   0                   
     0.08%             1  5             L1 hit                                   [k] update_curr                   [kernel.kallsyms]        [k] 0xffffd3a8401abd28                     [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        52                   0                   
     0.08%             1  5             L1 hit                                   [k] update_curr                   [kernel.kallsyms]        [k] 0xffffd3a84d42f5c0                     [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       262                  0                   
     0.08%             1  5             L1 hit                                   [.] 0x000000000009776a            libc.so.6                [.] 0x000055eb11814260                     anon                     None          L1 or L2 hit            Yes      N/A        78                   0                   
     0.08%             1  5             L1 hit                                   [.] 0x000000000009776a            libc.so.6                [.] 0x000055eb11814fc0                     anon                     None          L1 or L2 hit            Yes      N/A        116                  0                   
     0.08%             1  5             L1 hit                                   [.] 0x000000000009776a            libc.so.6                [.] 0x000055eb466863d8                     [heap]                   None          L1 or L2 hit            Yes      N/A        37                   0                   
     0.08%             1  5             L1 hit                                   [.] 0x000000000009776a            libc.so.6                [.] 0x000055eb46687ba8                     [heap]                   None          L1 or L2 hit            Yes      N/A        69                   0                   
     0.08%             1  5             L1 hit                                   [.] 0x000000000005a6f3            libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3a8                     [heap]                   None          L1 or L2 hit            Yes      Addr       49                   0                   
     0.08%             1  5             L1 hit                                   [.] 0x000000000005c670            libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc8                     [stack]                  None          L1 or L2 hit            No       Addr       241                  0                   
     0.08%             1  5             L1 hit                                   [.] 0x0000000000b1816a            qemu-system-x86_64       [.] 0x00007ffef8c05cc8                     [stack]                  None          L1 or L2 hit            Yes      N/A        55                   0                   


# Samples: 46  of event 'cpu_core/mem-stores/P'
# Total weight : 230
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                            Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     2.17%             1  5             L1 hit                                   [k] __alloc_pages_noprof          [kernel.kallsyms]        [k] 0xffffd3a84d42f608  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.17%             1  5             L1 hit                                   [k] __calc_delta.constprop.0      [kernel.kallsyms]        [k] 0xffffd3a84d42f6b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.17%             1  5             L1 hit                                   [k] __get_next_timer_interrupt    [kernel.kallsyms]        [k] 0xffffd3a8401abe30  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.17%             1  5             L1 hit                                   [k] __pollwait                    [kernel.kallsyms]        [k] 0xffffd3a84d42fc60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.17%             1  5             L1 hit                                   [k] __rcu_read_lock               [kernel.kallsyms]        [k] 0xffff8c3d4f3f553c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.17%             1  5             L1 hit                                   [k] __rmqueue_pcplist             [kernel.kallsyms]        [k] 0xffffd3a84d42f500  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.17%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq      [kernel.kallsyms]        [k] 0xffffd3a8401abcb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.17%             1  5             L1 hit                                   [k] _raw_spin_unlock              [kernel.kallsyms]        [k] 0xffff8c3f0f3226c0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.17%             1  5             L1 hit                                   [k] _raw_spin_unlock_irqrestore   [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     2.17%             1  5             L1 hit                                   [k] add_wait_queue                [kernel.kallsyms]        [k] 0xffffd3a84d42f6a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
