# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12  of event 'cpu_core/mem-loads-aux/'
# Total weight : 12
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.03%             1  5             L1 hit                                   [.] g_mutex_lock                             libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        55                   0                   
     0.03%             1  5             L1 hit                                   [.] g_mutex_lock                             libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        48                   0                   
     0.03%             1  5             L1 hit                                   [.] g_mutex_lock                             libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        45                   0                   
     0.03%             1  5             L1 hit                                   [.] g_mutex_lock                             libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        44                   0                   
     0.03%             1  5             L1 hit                                   [.] g_mutex_unlock                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        95                   0                   
     0.03%             1  5             L1 hit                                   [.] g_mutex_unlock                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        69                   0                   
     0.03%             1  5             L1 hit                                   [.] g_mutex_unlock                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        61                   0                   
     0.03%             1  5             L1 hit                                   [.] g_mutex_unlock                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                             [heap]                   None          L1 or L2 hit            Yes      N/A        56                   0                   
     0.03%             1  5             L1 hit                                   [.] g_source_ref                             libglib-2.0.so.0.8400.4  [.] 0x000055eb46682fd8                             [heap]                   None          L1 or L2 hit            Yes      N/A        36                   0                   
     0.03%             1  5             L1 hit                                   [.] g_source_ref                             libglib-2.0.so.0.8400.4  [.] 0x000055eb466878f8                             [heap]                   None          L1 or L2 hit            Yes      N/A        45                   0                   
     0.03%             1  5             L1 hit                                   [k] get_page_from_freelist                   [kernel.kallsyms]        [k] 0xffff8c3f0f331900                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       120                  0                   
     0.03%             1  5             L1 hit                                   [k] get_page_from_freelist                   [kernel.kallsyms]        [k] 0xffffd3a84d42f590                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       35                   0                   
     0.03%             1  5             L1 hit                                   [k] hrtimer_start_range_ns                   [kernel.kallsyms]        [k] 0xffffd3a84d42f7ba                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        43                   0                   
     0.03%             1  5             L1 hit                                   [k] perf_mux_hrtimer_handler                 [kernel.kallsyms]        [k] 0xffffd3a84007eec8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        67                   0                   
     0.03%             1  5             L1 hit                                   [k] psi_group_change                         [kernel.kallsyms]        [k] 0xffffd3a84b233aa0                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       61                   0                   
     0.03%             1  5             L1 hit                                   [k] psi_group_change                         [kernel.kallsyms]        [k] 0xffffd3a84d42f6e0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        74                   0                   
     0.03%             1  5             L1 hit                                   [k] psi_group_change                         [kernel.kallsyms]        [k] 0xfffff3a83f94f5c8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        137                  0                   
     0.03%             1  5             L1 hit                                   [k] psi_group_change                         [kernel.kallsyms]        [k] 0xfffff3a83f962d48                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        77                   0                   
     0.03%             1  5             L1 hit                                   [.] pthread_mutex_lock                       libc.so.6                [.] 0x000055eb11814fc0                             anon                     None          L1 or L2 hit            Yes      N/A        39                   0                   
     0.03%             1  5             L1 hit                                   [.] qemu_clock_get_ns                        qemu-system-x86_64       [.] 0x00007ffef8c05d58                             [stack]                  None          L1 or L2 hit            No       N/A        34                   0                   
     0.03%             1  5             L1 hit                                   [.] qemu_event_reset                         qemu-system-x86_64       [.] 0x000055eb466864a0                             [heap]                   None          L1 or L2 hit            Yes      N/A        47                   0                   
     0.03%             1  5             L1 hit                                   [.] qemu_event_set                           qemu-system-x86_64       [.] 0x000055eb46686430                             [heap]                   None          L1 or L2 hit            Yes      N/A        39                   0                   
     0.03%             1  5             L1 hit                                   [k] select_estimate_accuracy                 [kernel.kallsyms]        [k] 0xffffd3a84d42f7b0                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       33                   0                   
     0.03%             1  5             L1 hit                                   [k] skip_emulated_instruction                [kernel.kallsyms]        [k] 0xffff8c3c92d781b4                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        61                   0                   
     0.03%             1  5             L1 hit                                   [k] tcp_poll                                 [kernel.kallsyms]        [k] 0xffffd3a84d42f694                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        70                   0                   
     0.03%             1  5             L1 hit                                   [k] tcp_poll                                 [kernel.kallsyms]        [k] 0xffffd3a84d42f788                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        40                   0                   
     0.03%             1  5             L1 hit                                   [k] tcp_poll                                 [kernel.kallsyms]        [k] 0xffffd3a84d42f7ff                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       261                  0                   
     0.03%             1  5             L1 hit                                   [k] tcp_poll                                 [kernel.kallsyms]        [k] 0xffffd3a84d42f99f                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       46                   0                   
     0.03%             1  5             L1 hit                                   [k] timerqueue_del                           [kernel.kallsyms]        [k] 0xffff8c3f0f325ea0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        161                  0                   
     0.03%             1  5             L1 hit                                   [k] update_curr                              [kernel.kallsyms]        [k] 0xffffd3a84007ee50                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        63                   0                   
     0.03%             1  5             L1 hit                                   [k] update_curr                              [kernel.kallsyms]        [k] 0xffffd3a84d42f558                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        56                   0                   
     0.03%             1  5             L1 hit                                   [k] update_curr_se                           [kernel.kallsyms]        [k] 0xffffd3a84007ee38                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        167                  0                   
     0.03%             1  5             L1 hit                                   [k] update_deadline                          [kernel.kallsyms]        [k] 0xffff8c3bc401a470                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        59                   0                   
     0.03%             1  5             L1 hit                                   [k] update_deadline                          [kernel.kallsyms]        [k] 0xffff8c3bd4ee9e70                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        42                   0                   
     0.03%             1  5             L1 hit                                   [k] update_deadline                          [kernel.kallsyms]        [k] 0xffff8c3bfbe2fa70                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        58                   0                   
     0.03%             1  5             L1 hit                                   [k] update_deadline                          [kernel.kallsyms]        [k] 0xffffd3a84007ee28                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        114                  0                   
     0.03%             1  5             L1 hit                                   [k] vcpu_run                                 [kernel.kallsyms]        [k] 0xffff8c3c92d78038                             [kernel.kallsyms]        None          L1 or L2 hit            No       Data       86                   0                   
     0.03%             1  5             L1 hit                                   [k] vmx_vcpu_run                             [kernel.kallsyms]        [k] 0xffff8c3f0f31b030                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        101                  0                   
     0.03%             1  5             L1 hit                                   [.] 0x000000000009776a                       libc.so.6                [.] 0x000055eb466863d8                             [heap]                   None          L1 or L2 hit            Yes      N/A        85                   0                   
     0.03%             1  5             L1 hit                                   [.] 0x000000000005a6f3                       libglib-2.0.so.0.8400.4  [.] 0x000055eb46682fd8                             [heap]                   None          L1 or L2 hit            Yes      N/A        46                   0                   
     0.03%             1  5             L1 hit                                   [.] 0x000000000005e157                       libglib-2.0.so.0.8400.4  [.] 0x000055eb4668790c                             [heap]                   None          L1 or L2 hit            No       Data       36                   0                   
     0.03%             1  5             L1 hit                                   [.] 0x000000000005c753                       libglib-2.0.so.0.8400.4  [.] 0x000055eb46687dd8                             [heap]                   None          L1 or L2 hit            No       Addr       732                  0                   
     0.03%             1  5             L1 hit                                   [.] 0x000000000005db8c                       libglib-2.0.so.0.8400.4  [.] 0x000055eb46687ed0                             [heap]                   None          L1 or L2 hit            No       N/A        62                   0                   
     0.03%             1  5             L1 hit                                   [.] 0x000000000005db8c                       libglib-2.0.so.0.8400.4  [.] 0x000055eb46688090                             [heap]                   None          L1 or L2 hit            No       Addr       58                   0                   
     0.03%             1  5             L1 hit                                   [.] 0x000000000005a6f3                       libglib-2.0.so.0.8400.4  [.] 0x000055eb46688bb8                             [heap]                   None          L1 or L2 hit            Yes      N/A        51                   0                   
     0.03%             1  5             L1 hit                                   [.] 0x000000000005a6f3                       libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3a8                             [heap]                   None          L1 or L2 hit            Yes      N/A        37                   0                   
     0.03%             1  5             L1 hit                                   [.] 0x000000000005dfcf                       libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05ce8                             [stack]                  None          L1 or L2 hit            No       Addr       44                   0                   


# Samples: 72  of event 'cpu_core/mem-stores/P'
# Total weight : 360
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     1.39%             1  5             L1 hit                                   [k] __perf_event_task_sched_out      [kernel.kallsyms]        [k] 0xffffd3a8401abe28  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] __pollwait                       [kernel.kallsyms]        [k] 0xffffd3a84d42f9a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] __schedule                       [kernel.kallsyms]        [k] 0xffffd3a84b233940  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] __schedule                       [kernel.kallsyms]        [k] 0xffffd3a84d42f700  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq         [kernel.kallsyms]        [k] 0xffff8c3bd4eeb0b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq         [kernel.kallsyms]        [k] 0xffffd3a84d42f748  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] __update_load_avg_se             [kernel.kallsyms]        [k] 0xffffd3a84007ee18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] __vdso_clock_gettime             [vdso]                   [.] 0x00007ffef8c05d38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] __vdso_gettimeofday              [vdso]                   [.] 0x00007ffef8c05d38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] add_wait_queue                   [kernel.kallsyms]        [k] 0xffffd3a84d42f9e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] cgroup_rstat_updated             [kernel.kallsyms]        [k] 0xffffd3a84007ee20  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] cpu_get_clock_locked             qemu-system-x86_64       [.] 0x00007ffef8c05cf8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] do_sys_poll                      [kernel.kallsyms]        [k] 0xffffd3a84d42f728  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] do_sys_poll                      [kernel.kallsyms]        [k] 0xffffd3a84d42f890  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] do_sys_poll                      [kernel.kallsyms]        [k] 0xffffd3a84d42fa48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] do_sys_poll                      [kernel.kallsyms]        [k] 0xffffd3a84d42fac0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] do_syscall_64                    [kernel.kallsyms]        [k] 0xffffd3a84d42fde8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] do_vfs_ioctl                     [kernel.kallsyms]        [k] 0xffffd3a84d42fd18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] enqueue_task_fair                [kernel.kallsyms]        [k] 0xffff8c3bc790d420  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe   [kernel.kallsyms]        [k] 0xffffd3a84d42ff88  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] fdget                            [kernel.kallsyms]        [k] 0xffffd3a84d42f7e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] g_main_context_query             libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05db8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] g_main_context_query             libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05dc0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] g_mutex_unlock                   libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] g_source_ref                     libglib-2.0.so.0.8400.4  [.] 0x000055eb466878f8  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] kvm_report_irq_delivered         qemu-system-x86_64       [.] 0x000055eb11813974  anon               None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] kvm_sched_out                    [kernel.kallsyms]        [k] 0xffff8c3c92d78124  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] kvm_set_irq                      [kernel.kallsyms]        [k] 0xffffd3a84d42fb60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] kvm_set_user_return_msr          [kernel.kallsyms]        [k] 0xffffd3a84b233ac0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] main_loop_wait                   qemu-system-x86_64       [.] 0x00007ffef8c05de8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] main_loop_wait                   qemu-system-x86_64       [.] 0x00007ffef8c05e18  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] menu_select                      [kernel.kallsyms]        [k] 0xffff8c3f0f3345ec  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] psi_group_change                 [kernel.kallsyms]        [k] 0xffffd3a84d42f8a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] qemu_clock_get_ns                qemu-system-x86_64       [.] 0x00007ffef8c05d48  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] qemu_event_set                   qemu-system-x86_64       [.] 0x00007ffef8c05d50  [stack]            None          L1 or L2 hit            Yes      N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] qemu_mutex_lock_impl             qemu-system-x86_64       [.] 0x00007ffef8c05c18  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] qemu_mutex_unlock_impl           qemu-system-x86_64       [.] 0x00007ffef8c05d28  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] qemu_mutex_unlock_impl           qemu-system-x86_64       [.] 0x00007ffef8c05d50  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] reweight_entity                  [kernel.kallsyms]        [k] 0xffff8c3bc401a208  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] reweight_entity                  [kernel.kallsyms]        [k] 0xffff8c3f0f335f48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] reweight_entity                  [kernel.kallsyms]        [k] 0xffffd3a84007ee70  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] reweight_entity                  [kernel.kallsyms]        [k] 0xffffd3a84d42f628  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] schedule_hrtimeout_range_clock   [kernel.kallsyms]        [k] 0xffffd3a84d42f6c8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] tick_nohz_get_sleep_length       [kernel.kallsyms]        [k] 0xffffd3a8401abea8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] timerlist_deadline_ns            qemu-system-x86_64       [.] 0x00007ffef8c05c38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] timerlist_deadline_ns            qemu-system-x86_64       [.] 0x00007ffef8c05c60  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] timerlist_deadline_ns            qemu-system-x86_64       [.] 0x00007ffef8c05c80  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] timerqueue_add                   [kernel.kallsyms]        [k] 0xffffd3a8401abc88  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] update_curr                      [kernel.kallsyms]        [k] 0xffffd3a84007ee08  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] update_curr                      [kernel.kallsyms]        [k] 0xffffd3a84d42f5c8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] update_deadline                  [kernel.kallsyms]        [k] 0xffffd3a84b2339c0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] update_load_avg                  [kernel.kallsyms]        [k] 0xffffd3a8401abd48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] vmx_vcpu_enter_exit              [kernel.kallsyms]        [k] 0xffffd3a84b233ab8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] vmx_vcpu_run                     [kernel.kallsyms]        [k] 0xffff8c3c92d781b4  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] vmx_vcpu_run                     [kernel.kallsyms]        [k] 0xffff8c3c92d78ed0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] vmx_vcpu_run                     [kernel.kallsyms]        [k] 0xffffd3a84b233bdc  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] vtime_task_switch_generic        [kernel.kallsyms]        [k] 0xffff8c3cc7d757f0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] vtime_user_enter                 [kernel.kallsyms]        [k] 0xffff8c3d4f3f57e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [k] xa_find                          [kernel.kallsyms]        [k] 0xffffd3a84d42f9a8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x000000000009a9e7               libc.so.6                [.] 0x00007ffef8c05d20  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x000000000008f6a4               libc.so.6                [.] 0x00007ffef8c05d40  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x000000000005db88               libglib-2.0.so.0.8400.4  [.] 0x000055eb46687e26  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x00000000000be63d               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bb8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x00000000000be63b               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bc0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x00000000000951fc               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05be4  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x000000000005a6d9               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05c68  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x000000000005a6d5               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05c70  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x000000000005a6cb               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05c88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x000000000005c6d9               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05c98  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x000000000005c630               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x000000000005d92b               libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.39%             1  5             L1 hit                                   [.] 0x0000000000756b70               qemu-system-x86_64       [.] 0x00007f115ca4c198  anon               None          L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: To set sampling period of individual events use perf record -e cpu/cpu-cycles,period=100001/,cpu/branches,period=10001/ ...)
#
