# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12  of event 'cpu_core/mem-loads-aux/'
# Total weight : 12
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.61%             1  113           L3 hit                                   [k] task_mm_cid_work                         [kernel.kallsyms]        [k] 0xffff8c3f0f536978                             [kernel.kallsyms]        None          L2 miss                 No       Addr       200                  0                   
     0.58%             1  108           L3 hit                                   [k] vcpu_run                                 [kernel.kallsyms]        [k] 0xffff8c3f0f320840                             [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        112                  0                   
     0.58%             1  107           L3 hit                                   [k] pick_task_fair                           [kernel.kallsyms]        [k] 0xffff8c3bfbe2f050                             [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        109                  0                   
     0.56%             1  105           LFB/MAB hit                              [k] _raw_spin_lock                           [kernel.kallsyms]        [k] 0xffff8c3f0f3307a0                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        107                  0                   
     0.55%             1  103           LFB/MAB hit                              [k] _raw_spin_lock                           [kernel.kallsyms]        [k] 0xffff8c3f0f3307a0                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        105                  0                   
     0.54%             1  101           L3 hit                                   [k] vmx_spec_ctrl_restore_host               [kernel.kallsyms]        [k] 0xffff8c3f0f320890                             [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        112                  0                   
     0.53%             1  98            LFB/MAB hit                              [k] __switch_to_asm                          [kernel.kallsyms]        [k] 0xffffd3a84d42f8e0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        114                  0                   
     0.53%             1  98            L3 hit                                   [k] rcu_nocb_flush_deferred_wakeup           [kernel.kallsyms]        [k] 0xffff8c3f0f337000                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        102                  0                   
     0.51%             1  95            LFB/MAB hit                              [k] record_times                             [kernel.kallsyms]        [k] 0xfffff3a83f94f5ec                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        105                  0                   
     0.50%             1  93            LFB/MAB hit                              [k] avg_vruntime                             [kernel.kallsyms]        [k] 0xffff8c3bfbe2f050                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        102                  0                   
     0.50%             1  93            LFB/MAB hit                              [k] ct_kernel_exit_state                     [kernel.kallsyms]        [k] 0xffff8c3f0f319a18                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        101                  0                   
