# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44  of event 'cpu_core/mem-loads-aux/'
# Total weight : 44
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object       Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  ..................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.15%             1  5             L1 hit                                   [k] place_entity                     [kernel.kallsyms]        [k] 0xffff8c3bc401a400                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        99                   0                   
     0.15%             1  5             L1 hit                                   [k] psi_group_change                 [kernel.kallsyms]        [k] 0xffff8c3bd1876280                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       88                   0                   
     0.15%             1  5             L1 hit                                   [k] psi_group_change                 [kernel.kallsyms]        [k] 0xffffd3a8401abd88                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        617                  0                   
     0.15%             1  5             L1 hit                                   [k] psi_group_change                 [kernel.kallsyms]        [k] 0xffffd3a8401abda0                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       214                  0                   
     0.15%             1  5             L1 hit                                   [k] psi_group_change                 [kernel.kallsyms]        [k] 0xffffd3a84d42f8a8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        184                  0                   
     0.15%             1  5             L1 hit                                   [k] psi_group_change                 [kernel.kallsyms]        [k] 0xfffff3a83f962d48                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        91                   0                   
     0.15%             1  5             L1 hit                                   [k] record_times                     [kernel.kallsyms]        [k] 0xffffd3a8401abd60                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        197                  0                   
     0.15%             1  5             L1 hit                                   [k] signalfd_poll                    [kernel.kallsyms]        [k] 0xffffd3a84d42f68c                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      Addr       77                   0                   
     0.15%             1  5             L1 hit                                   [k] update_curr                      [kernel.kallsyms]        [k] 0xffff8c3d4f3f5b40                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       49                   0                   
     0.15%             1  5             L1 hit                                   [k] vmx_sync_pir_to_irr              [kernel.kallsyms]        [k] 0xffff8c3c92d79ea0                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        36                   0                   


# Samples: 310  of event 'cpu_core/mem-stores/P'
# Total weight : 1593
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                 Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .....................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     1.57%             5  5             L1 hit                                   [k] __rcu_read_unlock                  [kernel.kallsyms]        [k] 0xffff8c3d4f3f553c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.32%             1  21            LFB/MAB hit                              [.] address_space_map                  qemu-system-x86_64       [.] 0x00007ffef8be7658  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     1.32%             1  21            L2 hit                                   [k] tomoyo_path_number_perm            [kernel.kallsyms]        [k] 0xffffd3a84d42fc50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.94%             3  5             L1 hit                                   [.] __vdso_clock_gettime               [vdso]                   [.] 0x00007ffef8c05ca8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.94%             3  5             L1 hit                                   [.] __vdso_clock_gettime               [vdso]                   [.] 0x00007ffef8c05d20  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.75%             1  12            LFB/MAB hit                              [k] __update_load_avg_cfs_rq           [kernel.kallsyms]        [k] 0xffff8c3bc790d4b0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.75%             1  12            LFB/MAB hit                              [.] 0x00000000000be646                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05ba8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             1  10            LFB/MAB hit                              [k] xa_find                            [kernel.kallsyms]        [k] 0xffffd3a84d42f7f0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [k] __get_next_timer_interrupt         [kernel.kallsyms]        [k] 0xffffd3a8401abe18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [k] __hrtimer_next_event_base          [kernel.kallsyms]        [k] 0xffffd3a8401abe30  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [k] __rcu_read_lock                    [kernel.kallsyms]        [k] 0xffff8c3d4f3f553c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [k] _raw_spin_unlock_irqrestore        [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [k] cpuidle_governor_latency_req       [kernel.kallsyms]        [k] 0xffffd3a8401abe88  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [k] do_sys_poll                        [kernel.kallsyms]        [k] 0xffffd3a84d42f908  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe     [kernel.kallsyms]        [k] 0xffffd3a84d42ffd0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [.] object_dynamic_cast_assert         qemu-system-x86_64       [.] 0x00007ffef8c05c48  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [.] qemu_mutex_unlock_impl             qemu-system-x86_64       [.] 0x00007ffef8c05d48  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [k] set_next_entity                    [kernel.kallsyms]        [k] 0xffffd3a8401abde8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [.] timerlist_deadline_ns              qemu-system-x86_64       [.] 0x00007ffef8c05d78  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [k] update_load_avg                    [kernel.kallsyms]        [k] 0xffffd3a8401abd80  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [.] 0x00000000000be64b                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b68  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [.] 0x00000000000951d4                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bf8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [.] 0x000000000005df86                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [.] 0x000000000005d92b                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.63%             2  5             L1 hit                                   [.] 0x0000000000b16380                 qemu-system-x86_64       [.] 0x00007ffef8c05ca0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __dequeue_entity                   [kernel.kallsyms]        [k] 0xffffd3a8401abdc0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __enqueue_entity                   [kernel.kallsyms]        [k] 0xffffd3a8401abd38  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __get_next_timer_interrupt         [kernel.kallsyms]        [k] 0xffffd3a8401abe20  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __get_next_timer_interrupt         [kernel.kallsyms]        [k] 0xffffd3a8401abe30  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] __hrtimer_next_event_base          [kernel.kallsyms]        [k] 0xffffd3a8401abe28  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
