# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44  of event 'cpu_core/mem-loads-aux/'
# Total weight : 44
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object       Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  ..................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.31%             1  5             L1 hit                                   [k] syscall_exit_to_user_mode_prepare  [kernel.kallsyms]        [k] 0xffffd3a84d42fec8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] syscall_return_via_sysret          [kernel.kallsyms]        [k] 0xfffffe1fb61a9ff0  [unknown]          None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] task_non_contending                [kernel.kallsyms]        [k] 0xffffd3a84d42f768  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] tcp_ack                            [kernel.kallsyms]        [k] 0xffffd3a84007ebc0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] tcp_sendmsg                        [kernel.kallsyms]        [k] 0xffffd3a84d42fd10  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] tick_nohz_idle_retain_tick         [kernel.kallsyms]        [k] 0xffff8c3f0f326490  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] tick_nohz_next_event               [kernel.kallsyms]        [k] 0xffff8c3f0f326490  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] tick_nohz_next_event               [kernel.kallsyms]        [k] 0xffffd3a8401abe48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] tick_nohz_next_event               [kernel.kallsyms]        [k] 0xffffd3a8401abe68  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] timerlist_deadline_ns              qemu-system-x86_64       [.] 0x00007ffef8c05c38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] timerlist_deadline_ns              qemu-system-x86_64       [.] 0x00007ffef8c05c60  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] timerlist_deadline_ns              qemu-system-x86_64       [.] 0x00007ffef8c05da0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] timerlistgroup_deadline_ns         qemu-system-x86_64       [.] 0x00007ffef8c05c78  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] timerqueue_add                     [kernel.kallsyms]        [k] 0xffff8c3f0f336890  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] try_to_wake_up                     [kernel.kallsyms]        [k] 0xffffd3a84b233870  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] udp_poll                           [kernel.kallsyms]        [k] 0xffffd3a84d42f6e0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] udp_poll                           [kernel.kallsyms]        [k] 0xffffd3a84d42f818  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] update_curr_se                     [kernel.kallsyms]        [k] 0xffffd3a84d42f760  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] update_entity_lag                  [kernel.kallsyms]        [k] 0xffff8c3bc401a478  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] update_entity_lag                  [kernel.kallsyms]        [k] 0xffffd3a84d42f6e8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] update_load_avg                    [kernel.kallsyms]        [k] 0xffffd3a8401abdb0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] update_load_avg                    [kernel.kallsyms]        [k] 0xffffd3a84d42f670  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] update_process_times               [kernel.kallsyms]        [k] 0xffffd3a84007eee0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] vmx_set_rvi                        [kernel.kallsyms]        [k] 0xffffd3a84b233928  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] vmx_sync_pir_to_irr                [kernel.kallsyms]        [k] 0xffffd3a84b233990  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] vmx_sync_pir_to_irr                [kernel.kallsyms]        [k] 0xffffd3a84b2339c8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] vmx_vcpu_run                       [kernel.kallsyms]        [k] 0xffffd3a84b233b50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] vtime_user_enter                   [kernel.kallsyms]        [k] 0xffff8c3d4f3f57d0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] vtime_user_exit                    [kernel.kallsyms]        [k] 0xffff8c3d4f3f57e8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] xa_find                            [kernel.kallsyms]        [k] 0xffffd3a84d42f8b8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] xa_find                            [kernel.kallsyms]        [k] 0xffffd3a84d42fb30  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] xa_find_after                      [kernel.kallsyms]        [k] 0xffffd3a84d42f848  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] xa_find_after                      [kernel.kallsyms]        [k] 0xffffd3a84d42fad8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [k] xa_find_after                      [kernel.kallsyms]        [k] 0xffffd3a84d42fb38  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000097737                 libc.so.6                [.] 0x000055eb11814268  anon               None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000097737                 libc.so.6                [.] 0x000055eb11814fc8  anon               None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005db88                 libglib-2.0.so.0.8400.4  [.] 0x000055eb46686656  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005a6f3                 libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3a8  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000000599b6                 libglib-2.0.so.0.8400.4  [.] 0x000055eb479ed69e  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000000599b4                 libglib-2.0.so.0.8400.4  [.] 0x000055eb479ed6b8  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005db88                 libglib-2.0.so.0.8400.4  [.] 0x00007f10c56edbe6  anon               None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000000bdb4d                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000000bdb40                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b50  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000000be642                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bb0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000095204                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bd8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000000951e6                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05be0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000000951f7                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bf0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000009518b                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05c68  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005a6d3                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05c78  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005a6cb                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05c88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005c6d5                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cac  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005da90                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005da04                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005d9b7                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05ce0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005d9d9                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cf8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005da60                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d0c  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000022ffa                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d10  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005df50                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d10  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005c664                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d18  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000005dec2                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d58  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000023001                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d90  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000059a24                 libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d90  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000756b70                 qemu-system-x86_64       [.] 0x00007f115ca4c198  anon               None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000008b304b                 qemu-system-x86_64       [.] 0x00007ffef8bfdb68  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000b1638b                 qemu-system-x86_64       [.] 0x00007ffef8c05c30  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000b18217                 qemu-system-x86_64       [.] 0x00007ffef8c05ca8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000b1d2fc                 qemu-system-x86_64       [.] 0x00007ffef8c05ca8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000affe69                 qemu-system-x86_64       [.] 0x00007ffef8c05cb8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000b185f4                 qemu-system-x86_64       [.] 0x00007ffef8c05cc0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x000000000082cdf9                 qemu-system-x86_64       [.] 0x00007ffef8c05cd8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000007c741a                 qemu-system-x86_64       [.] 0x00007ffef8c05d38  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x00000000007c73d6                 qemu-system-x86_64       [.] 0x00007ffef8c05d46  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000b1d361                 qemu-system-x86_64       [.] 0x00007ffef8c05d60  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.31%             1  5             L1 hit                                   [.] 0x0000000000b1d2f6                 qemu-system-x86_64       [.] 0x00007ffef8c05d88  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.06%             1  0             L3 miss                                  [k] _copy_to_user                      [kernel.kallsyms]        [k] 0x00007ffef8c05cc7  [unknown]          N/A           L1 or L2 hit            No       N/A        0                    0                   
     0.06%             1  0             L3 miss                                  [k] schedule_hrtimeout_range_clock     [kernel.kallsyms]        [k] 0xffffd3a84d42f700  [kernel.kallsyms]  N/A           L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: To compare hot regions in two workloads use perf record -b -o file ... ; perf diff --stream file1 file2)
#
