# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28  of event 'cpu_core/mem-loads-aux/'
# Total weight : 28
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.69%             1  70            LFB/MAB hit                              [k] bio_endio                         [kernel.kallsyms]        [k] 0xffff8c3d08fd3610                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        72                   0                   
     0.69%             1  70            L3 hit                                   [k] __update_load_avg_se              [kernel.kallsyms]        [k] runnable_avg_yN_inv+0x10                   [kernel.kallsyms]   None          L2 miss                 No       N/A        91                   0                   
     0.69%             1  70            L3 hit                                   [k] ext4_finish_bio                   [kernel.kallsyms]        [k] 0xfffffcaf0acd7dc0                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        72                   0                   
     0.68%             1  69            L3 hit                                   [k] __tick_nohz_task_switch           [kernel.kallsyms]        [k] 0xffff8c3f0f326400                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        73                   0                   
     0.68%             1  69            L3 hit                                   [.] kvm_set_irq                       qemu-system-x86_64       [.] 0x000055eb46955d00                         [heap]              None          L1 or L2 hit            No       N/A        71                   0                   
     0.66%             1  67            L3 hit                                   [.] qemu_event_reset                  qemu-system-x86_64       [.] 0x000055eb466864a4                         [heap]              None          L1 or L2 hit            No       N/A        69                   0                   
     0.65%             1  66            L3 hit                                   [k] poll_freewait                     [kernel.kallsyms]        [k] 0xffff8c3e405a2008                         [kernel.kallsyms]   None          L2 miss                 No       N/A        87                   0                   
     0.64%             1  65            LFB/MAB hit                              [k] fdget                             [kernel.kallsyms]        [k] 0xffff8c3c3908e3cd                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        67                   0                   
     0.64%             1  65            L3 hit                                   [k] ip_protocol_deliver_rcu           [kernel.kallsyms]        [k] inet_protos+0x30                           [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        67                   0                   
     0.63%             1  64            LFB/MAB hit                              [k] psi_group_change                  [kernel.kallsyms]        [k] 0xfffff3a83f9624c0                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        66                   0                   
     0.63%             1  64            LFB/MAB hit                              [.] 0x00000000006cfd6b                qemu-system-x86_64       [.] 0x000055eb47454060                         [heap]              None          L1 or L2 hit            No       N/A        67                   0                   
     0.63%             1  64            L3 hit                                   [k] __set_next_task_fair.part.0       [kernel.kallsyms]        [k] 0xffff8c3bc130fb08                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        66                   0                   
     0.62%             1  63            LFB/MAB hit                              [k] restore_fpregs_from_fpstate       [kernel.kallsyms]        [k] 0xffff8c3d4f3f6460                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        66                   0                   
     0.62%             1  63            L3 hit                                   [k] save_fpregs_to_fpstate            [kernel.kallsyms]        [k] 0xffff8c3d4f3f6580                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        65                   0                   
     0.61%             1  62            LFB/MAB hit                              [k] free_unref_page                   [kernel.kallsyms]        [k] 0xfffffcaf0e0168b8                         [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       64                   0                   
