# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5  of event 'cpu_core/mem-loads-aux/'
# Total weight : 5
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    80.00%             4  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    20.00%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 46  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 2440
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                           Shared Object            Data Symbol                                      Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...............................  .......................  ...............................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.20%             1  5             L1 hit                                   [k] ct_kernel_exit_state         [kernel.kallsyms]        [k] 0xffff8c3f0f330ba8                           [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        38                   0                   
     0.20%             1  5             L1 hit                                   [k] dequeue_entity               [kernel.kallsyms]        [k] 0xffff8c3bfbe2fa70                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        36                   0                   
     0.20%             1  5             L1 hit                                   [k] fput                         [kernel.kallsyms]        [k] 0xffff8c3bee851840                           [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        41                   0                   
     0.20%             1  5             L1 hit                                   [k] fput                         [kernel.kallsyms]        [k] 0xffff8c3c3908eb40                           [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        151                  0                   
     0.20%             1  5             L1 hit                                   [.] g_mutex_unlock               libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                           [heap]             None          L1 or L2 hit            Yes      N/A        86                   0                   
     0.20%             1  5             L1 hit                                   [k] intel_idle                   [kernel.kallsyms]        [k] 0xffffd3a8401abe84                           [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        79                   0                   
     0.20%             1  5             L1 hit                                   [k] remove_wait_queue            [kernel.kallsyms]        [k] 0xffffd3a84d42f7a0                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        174                  0                   
     0.20%             1  5             L1 hit                                   [k] reweight_entity              [kernel.kallsyms]        [k] 0xffff8c3bfbe2f0a0                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        36                   0                   
     0.20%             1  5             L1 hit                                   [.] timerlist_deadline_ns        qemu-system-x86_64       [.] 0x00007ffef8c05da0                           [stack]            None          L1 or L2 hit            No       N/A        39                   0                   
     0.20%             1  5             L1 hit                                   [k] update_load_avg              [kernel.kallsyms]        [k] 0xffff8c3bfbe2fac0                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        208                  0                   
     0.20%             1  5             L1 hit                                   [k] vmx_vcpu_run                 [kernel.kallsyms]        [k] 0xffffd3a84b233d68                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        63                   0                   
     0.20%             1  5             L1 hit                                   [.] 0x000000000005dbbb           libglib-2.0.so.0.8400.4  [.] 0x000055eb479ed6a8                           [heap]             None          L1 or L2 hit            No       N/A        160                  0                   


# Samples: 21  of event 'cpu_core/mem-stores/P'
# Total weight : 105
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                       Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...........................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     4.76%             1  5             L1 hit                                   [k] __ct_user_enter          [kernel.kallsyms]        [k] 0xffffd3a84d42fe28  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] _raw_spin_lock_irqsave   [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] do_sys_poll              [kernel.kallsyms]        [k] 0xffffd3a84d42f6f8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] do_sys_poll              [kernel.kallsyms]        [k] 0xffffd3a84d42f800  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] do_sys_poll              [kernel.kallsyms]        [k] 0xffffd3a84d42f948  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] do_sys_poll              [kernel.kallsyms]        [k] 0xffffd3a84d42fc38  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] enqueue_entity           [kernel.kallsyms]        [k] 0xffff8c3f0f335ec8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] fdget                    [kernel.kallsyms]        [k] 0xffffd3a84d42f8a0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] get_timespec64           [kernel.kallsyms]        [k] 0xffffd3a84d42fb70  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] hrtimer_start_range_ns   [kernel.kallsyms]        [k] 0xffffd3a8401abcc0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] pick_eevdf               [kernel.kallsyms]        [k] 0xffffd3a84b233c00  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] poll_freewait            [kernel.kallsyms]        [k] 0xffffd3a84d42f780  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] rcu_note_context_switch  [kernel.kallsyms]        [k] 0xffffd3a8401abe50  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] reweight_entity          [kernel.kallsyms]        [k] 0xffff8c3bc790f008  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] tsc_verify_tsc_adjust    [kernel.kallsyms]        [k] 0xffffd3a8401abec8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] update_entity_lag        [kernel.kallsyms]        [k] 0xffff8c3bc790f078  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] xa_find                  [kernel.kallsyms]        [k] 0xffffd3a84d42f8f0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [.] 0x00000000000bdb50       libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b28  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [.] 0x00000000000be64b       libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05b68  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [.] 0x00000000000951d4       libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bf8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [.] 0x000000000005e078       libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cc0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: Treat branches as callchains: perf record -b ... ; perf report --branch-history)
#
