# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 802  of event 'cpu_core/mem-loads-aux/'
# Total weight : 810
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.37%             3  0             N/A                                      [.] 0x000000000094cf42                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094cf6b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094cfa4                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094cfb8                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094d1db                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094d1e9                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094d20a                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094e87f                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094e887                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x000000000094e8a8                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x0000000000c67390                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.37%             3  0             N/A                                      [.] 0x0000000000c6fc38                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [k] __filemap_get_folio                 [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] assert_hflags_rebuild_correctly     qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] cpu_exec_end                        qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] helper_simd_tblx                    qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [k] lru_gen_add_folio                   [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [k] n_tty_poll                          [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] slirp_pollfds_fill                  libslirp.so.0.4.0        [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee2d8c751                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee2d8cdab                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee314e1d0                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee314e1ef                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee314e315                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee31c9733                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee31c9761                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee31c9af7                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee31c9c21                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x00007fcee31c9c6a                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x0000000000934bda                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094a77e                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b0d7                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b113                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b116                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b292                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b298                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094b426                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x000000000094cf98                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
