# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 650  of event 'cpu_core/mem-loads-aux/'
# Total weight : 650
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                        Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ............................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.15%             1  0             N/A                                      [.] 0x00007fcee314e1ef        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee314e315        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee314ec48        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee314ed59        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee314ed7b        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c9733        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c97f1        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c9856        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c9af7        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c9c21        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c9c6a        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c9cab        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c9cd6        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c9da8        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x00007fcee31c9daf        [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x0000000000022ffe        libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x0000000000023006        libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x000000000002301e        libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x000000000005c498        libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x000000000005c49e        libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x0000000000934b77        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x0000000000934baf        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x000000000094a6d6        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.15%             1  0             N/A                                      [.] 0x000000000094a701        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
