# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_core/mem-loads-aux/'
# Total weight : 1471
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.07%             1  0             N/A                                      [.] 0x00007fced2211656               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced22116bc               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced22116c8               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced228e454               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced22a10eb               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced22c5463               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced22ff7d5               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced237bc4f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced26faf97               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced41a64a5               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced4d2928f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced4d29297               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced4d29f20               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced5844771               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced7b08878               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced7b08945               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced7b0ada2               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced7b0b72e               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.07%             1  0             N/A                                      [.] 0x00007fced7b0bd64               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
