# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    85.71%             6  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    14.29%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 23  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 2476
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                        Shared Object            Data Symbol             Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ............................  .......................  ......................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     3.23%             1  5             L1 hit                                   [.] __vdso_clock_gettime               [vdso]                   [.] 0x00007ffef8c05ca0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [.] __vdso_clock_gettime               [vdso]                   [.] 0x00007ffef8c05d28  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] _raw_spin_lock_irq                 [kernel.kallsyms]        [k] 0xffff8c3bc0059c00  [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] do_sys_poll                        [kernel.kallsyms]        [k] 0x000055eb479ed6b6  [unknown]          None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] enqueue_dl_entity                  [kernel.kallsyms]        [k] 0xffffd3a8401abd60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe     [kernel.kallsyms]        [k] 0xffffd3a84d42ff60  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe     [kernel.kallsyms]        [k] 0xffffd3a84d42ff68  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] entry_SYSCALL_64_after_hwframe     [kernel.kallsyms]        [k] 0xffffd3a84d42ffc8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] hrtimer_get_next_event             [kernel.kallsyms]        [k] 0xffffd3a8401abdd0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     3.23%             1  5             L1 hit                                   [k] kvm_vcpu_block                     [kernel.kallsyms]        [k] 0xffffd3a84b233bc8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
